word,class
luggage,baggage
bags,baggage
checkin,check in
chckin,check in
check in,check in
january,month
jan,month
february,month
feb,month
march,month
mar,month
apr,month
april,month
may,month
june,month
july,month
aug,month
august,month
septemeber,month
sep,month
oct,month
october,month
nov,month
novemeber,month
dec,month
december,month
sun,weekday
Sunday,weekday
mon,weekday
Monday,weekday
tue,weekday
Tuesday,weekday
wed,weekday
Wednesday,weekday
thu,weekday
Thursday,weekday
fri,weekday
Friday,weekday
login,log in
signin,login
username,login
